I, [2024-01-23T16:13:53.281609 #49458]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.6.0)
E, [2024-01-23T16:13:53.282998 #49458] ERROR -- Kitchen: ------Exception-------
E, [2024-01-23T16:13:53.283087 #49458] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2024-01-23T16:13:53.283132 #49458] ERROR -- Kitchen: Message: Kitchen YAML file /Users/piotrkrol/projects/chef_io_demo/kitchen.yml does not exist.
E, [2024-01-23T16:13:53.283169 #49458] ERROR -- Kitchen: ----------------------
E, [2024-01-23T16:13:53.283200 #49458] ERROR -- Kitchen: ------Backtrace-------
E, [2024-01-23T16:13:53.283243 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2024-01-23T16:13:53.283273 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:153:in `data'
E, [2024-01-23T16:13:53.283301 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:131:in `suites'
E, [2024-01-23T16:13:53.283330 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2024-01-23T16:13:53.283357 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2024-01-23T16:13:53.283383 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/config.rb:116:in `instances'
E, [2024-01-23T16:13:53.283687 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2024-01-23T16:13:53.283719 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2024-01-23T16:13:53.283756 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command/action.rb:34:in `block in call'
E, [2024-01-23T16:13:53.283784 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.1.0/benchmark.rb:296:in `measure'
E, [2024-01-23T16:13:53.283811 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/command/action.rb:33:in `call'
E, [2024-01-23T16:13:53.283838 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/cli.rb:52:in `perform'
E, [2024-01-23T16:13:53.283865 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2024-01-23T16:13:53.283892 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/command.rb:27:in `run'
E, [2024-01-23T16:13:53.283919 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/invocation.rb:127:in `invoke_command'
E, [2024-01-23T16:13:53.283946 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor.rb:392:in `dispatch'
E, [2024-01-23T16:13:53.283973 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/thor-1.2.2/lib/thor/base.rb:485:in `start'
E, [2024-01-23T16:13:53.284000 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/bin/kitchen:11:in `block in <top (required)>'
E, [2024-01-23T16:13:53.284026 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2024-01-23T16:13:53.284053 #49458] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.1.0/gems/test-kitchen-3.6.0/bin/kitchen:11:in `<top (required)>'
E, [2024-01-23T16:13:53.284080 #49458] ERROR -- Kitchen: /usr/local/bin/kitchen:431:in `load'
E, [2024-01-23T16:13:53.284105 #49458] ERROR -- Kitchen: /usr/local/bin/kitchen:431:in `<main>'
E, [2024-01-23T16:13:53.284159 #49458] ERROR -- Kitchen: ----End Backtrace-----
